Mark,Competitor,Nat_x,Location,Discipline,Date,Results Score,Nat_y,Birthdate,Event,Days Since Performance,Weighted Score
3:33.85,RYAN MPHAHLELE,RSA,"Bislett Stadion, Oslo (NOR)",1500m,2024-05-30,1191,RSA,20 Jun 1998,1500m,63,1118.2816771637576
3:55.49,ADAM SPENCER,AUS,"Olympic Stadium, London (GBR)",Mile,2024-07-20,1131,AUS,04 Oct 2001,1500m,12,1117.5091072468433
13:14.99,NARVE GILJE NORDÅS,NOR,"Sandnes Stadion, Sandnes (NOR)",5000m,2024-06-29,1155,NOR,30 Sep 1998,"1500m, 5000m",33,1117.507036325332
8:21.30,LEONARD CHEMUTAI,UGA,"Stade Omnisport de JAPOMA, Douala (CMR)",3000m SC,2024-06-23,1161,UGA,05 May 2003,3000m SC,39,1116.5925733189317
1:46.72,RYAN CLARKE,NED,"AtletiekArena Gaston Roelants Kessel-Lo / Hal 5, Leuven (BEL)",800m,2024-07-27,1122,NED,17 Nov 1997,800m,5,1116.4040016541896
8:20.06,MATTHEW CLARKE,AUS,"Polideportivo Zorrotza, Bilbao (ESP)",3000m SC,2024-06-18,1166,AUS,29 Apr 1995,3000m SC,44,1115.8083144135724
8:23.24,FAID EL MOSTAFA,MAR,Sale (MAR),3000m SC,2024-06-30,1152,MAR,13 Jan 2000,3000m SC,32,1115.7195825552355
13:04.27,YANN SCHRUB,FRA,"Boudewijnstadion, Bruxelles (BEL)",5000m,2024-05-25,1194,FRA,20 Mar 1996,"10000m, 5000m",68,1115.507005451193
3:37.63,CATHAL DOYLE,IRL,"Morton Stadium, Dublin (IRL)",1500m,2024-07-12,1138,IRL,12 Nov 1997,1500m,20,1115.4660902230876
3:34.90,GRANT FISHER,USA,"Icahn Stadium, New York, NY (USA)",1500m,2024-06-09,1176,USA,22 Apr 1997,"10000m, 5000m",53,1115.2948946791828
1:46.24,EDOSE IBADIN,NGR,"Sportcentrum Wembley, Kortrijk (BEL)",800m,2024-07-13,1136,NGR,27 Feb 1993,800m,19,1114.6197555078277
3:37.73,BRIAN FAY,IRL,"Morton Stadium, Dublin (IRL)",1500m,2024-07-12,1137,IRL,09 Nov 1998,5000m,20,1114.4858915497807
1:46.78,NAVASKY ANDERSON,JAM,"AtletiekArena Gaston Roelants Kessel-Lo / Hal 5, Leuven (BEL)",800m,2024-07-27,1120,JAM,21 Jan 2000,800m,5,1114.4139766958042
3:35.44,STEWART MCSWEYN,AUS,"Stadion De Veen, Heusden-Zolder (BEL)",1500m,2024-06-15,1168,AUS,01 Jun 1995,"1500m, 5000m",47,1114.3740803855535
8:21.92,KENNETH ROOKS,USA,"Hayward Field, Eugene, OR (USA)",3000m SC,2024-06-23,1158,USA,21 Oct 1999,3000m SC,39,1113.7073211914926
1:45.94,ABDELATI EL GUESSE,MAR,"Stade Jean Adret, Sotteville-lès-Rouen (FRA)",800m,2024-07-04,1145,MAR,27 Feb 1993,800m,28,1113.3846799874277
1:45.54,KETHOBOGILE HAINGURA,BOT,"Stade Omnisport de JAPOMA, Douala (CMR)",800m,2024-06-23,1157,BOT,14 Dec 1998,800m,39,1112.7455704823462
3:34.51,SAMUEL PIHLSTRÖM,SWE,"Olympiastadion, Stockholm (SWE)",1500m,2024-06-02,1181,SWE,08 Mar 2001,1500m,60,1112.2239141629977
1:45.84,SIMONE BARONTINI,ITA,"Campo Montagna, La Spezia (ITA)",800m,2024-06-30,1148,ITA,05 Jan 1999,800m,32,1111.845556226919
8:23.84,DANIEL ARCE,ESP,"Estadi Olímpic Camilo Cano, La Nucia (ESP)",3000m SC,2024-06-29,1149,ESP,22 Apr 1992,3000m SC,33,1111.7018049677977
1:46.30,JESUS TONATIU LOPEZ,MEX,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",800m,2024-07-12,1134,MEX,02 Aug 1997,800m,20,1111.5452955298604
2:02:16,BENSON KIPRUTO,KEN,Tokyo (JPN),Marathon,2024-03-03,1292,KEN,17 Mar 1991,Marathon,151,1110.9232266676936
8:24.37,NICOLAS-MARIE DARU,FRA,"Stade Josette et Roger Mikulak, Angers (FRA)",3000m SC,2024-06-29,1147,FRA,21 Oct 1988,3000m SC,33,1109.7667278486197
1:45.66,MACIEJ WYDERKA,POL,"Golęcin Stadion, Poznan (POL)",800m,2024-06-23,1153,POL,29 Jul 2002,1500m,39,1108.8985676457607
8:23.00,MATTHEW WILKINSON,USA,"Hayward Field, Eugene, OR (USA)",3000m SC,2024-06-23,1153,USA,27 Dec 1998,3000m SC,39,1108.8985676457607
8:20.99,SIMON KIPROP KOECH,KEN,"Nyayo National Stadium, Nairobi (KEN)",3000m SC,2024-06-15,1162,KEN,10 Jun 2003,3000m SC,47,1108.6495560000112
3:38.16,ADAM SPENCER,AUS,"Morton Stadium, Dublin (IRL)",1500m,2024-07-12,1131,AUS,04 Oct 2001,1500m,20,1108.6046995099402
8:24.21,RYOMA AOKI,JPN,"Denka Big Swan Stadium, Niigata (JPN)",3000m SC,2024-06-27,1148,JPN,16 Jun 1997,3000m SC,35,1108.5150178636864
13:18.27,SEAN MCGORTY,USA,"Hayward Field, Eugene, OR (USA)",5000m,2024-06-30,1144,USA,08 Mar 1995,5000m,32,1107.971529898602
8:24.91,ALEXIS MIELLET,FRA,"Stade Josette et Roger Mikulak, Angers (FRA)",3000m SC,2024-06-29,1145,FRA,05 May 1995,3000m SC,33,1107.8316507294417
3:34.95,CHARLES PHILIBERT-THIBOUTOT,CAN,"Olympiastadion, Stockholm (SWE)",1500m,2024-06-02,1175,CAN,31 Dec 1990,1500m,60,1106.5733269614923
1:46.94,OSSAMA MESLEK,ITA,"Market Street Bury, Manchester (GBR)",800m,2024-07-24,1115,ITA,08 Jan 1997,1500m,8,1106.1155850433227
8:25.27,DJILALI BEDRANI,FRA,"Stade Josette et Roger Mikulak, Angers (FRA)",3000m SC,2024-06-29,1143,FRA,01 Oct 1993,3000m SC,33,1105.8965736102637
27:22.38,MOHAMED ISMAIL,DJI,"Parliament Hill Fields Athletics Track, London (GBR)",10000m,2024-05-18,1191,DJI,01 Jan 1997,5000m,75,1104.9424922173064
1:46.04,JOSH KERR,GBR,"Manchester Regional Arena, Manchester (GBR)",800m,2024-06-29,1142,GBR,08 Oct 1997,1500m,33,1104.9290350506747
3:34.47,GEORDIE BEAMISH,NZL,"Hayward Field, Eugene, OR (USA)",1500m,2024-05-25,1182,NZL,24 Oct 1996,3000m SC,68,1104.2958797682663
12:58.78,BENSON KIPLANGAT,KEN,"Suzhou Olympic Sports Centre, Suzhou (CHN)",5000m,2024-04-27,1214,KEN,17 Jun 2003,10000m,96,1102.8753155074094
13:18.82,THOMAS FAFARD,CAN,"Complexe Sportif Claude-Robillard, Montréal (CAN)",5000m,2024-06-27,1142,CAN,06 Dec 1998,5000m,35,1102.7213853661408
27:49.47,GRANT FISHER,USA,"Hayward Field, Eugene, OR (USA)",10000m,2024-06-21,1148,USA,22 Apr 1997,"10000m, 5000m",41,1101.8838411800732
3:36.87,FEDERICO RIVA,ITA,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1500m,2024-06-20,1149,ITA,09 Nov 2000,1500m,42,1101.7413778777848
2:02:55,TIMOTHY KIPLAGAT,KEN,Tokyo (JPN),Marathon,2024-03-03,1281,KEN,18 Sep 1993,Marathon,151,1101.4649019824424
1:47.13,ADAM SPENCER,AUS,"Tooting Bec Athletics Track, London (GBR)",800m,2024-07-24,1109,AUS,04 Oct 2001,1500m,8,1100.1633935543002
1:44.75,SLIMANE MOULA,ALG,"Stade Delort, Marseille (FRA)",800m,2024-05-22,1181,ALG,25 Feb 1999,800m,71,1100.0564946026864
27:50.74,WILLIAM KINCAID,USA,"Hayward Field, Eugene, OR (USA)",10000m,2024-06-21,1146,USA,21 Sep 1992,10000m,41,1099.9641829201776
3:39.55,KENNETH ROOKS,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",1500m,2024-07-20,1113,USA,21 Oct 1999,3000m SC,12,1099.7238164153287
3:51.82,ABEL KIPSANG,KEN,"Hayward Field, Eugene, OR (USA)",Mile,2024-05-25,1177,KEN,22 Nov 1996,1500m,68,1099.6245774003803
2:06:05,AMANAL PETROS,GER,Hannover (GER),Marathon,2024-04-14,1226,GER,17 May 1995,Marathon,109,1099.3914918528367
1:46.01,TOM DRADRIGA,UGA,"Stade Omnisport de JAPOMA, Douala (CMR)",800m,2024-06-23,1143,UGA,17 Jun 1996,800m,39,1099.2810605542973
3:37.91,ROBERT FARKEN,GER,"Eintracht-Stadion, Braunschweig (GER)",1500m,2024-06-30,1135,GER,20 Sep 1997,1500m,32,1099.2549706598893
8:26.79,VELTEN SCHNEIDER,GER,"Eintracht-Stadion, Braunschweig (GER)",3000m SC,2024-06-29,1136,GER,21 Aug 1999,3000m SC,33,1099.1238036931404
8:24.16,NAHUEL CARABAÑA,AND,"Paavo Nurmen Stadion, Turku (FIN)",3000m SC,2024-06-18,1148,AND,10 Nov 1999,3000m SC,44,1098.5831431790575
3:37.96,MARIUS PROBST,GER,"Eintracht-Stadion, Braunschweig (GER)",1500m,2024-06-30,1134,GER,20 Aug 1995,1500m,32,1098.28646407781
13:20.99,COLE HOCKER,USA,"Hayward Field, Eugene, OR (USA)",5000m,2024-06-30,1134,USA,06 Jun 2001,1500m,32,1098.28646407781
27:52.40,NICO YOUNG,USA,"Hayward Field, Eugene, OR (USA)",10000m,2024-06-21,1144,USA,27 Jul 2002,10000m,41,1098.044524660282
27:27.11,FELIX BOUR,FRA,"Parliament Hill Fields Athletics Track, London (GBR)",10000m,2024-05-18,1183,FRA,25 Mar 1994,Marathon,75,1097.520544326678
3:37.78,MACIEJ WYDERKA,POL,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1500m,2024-06-27,1136,POL,29 Jul 2002,1500m,35,1096.9277528685955
2:06:46,EMILE CAIRESS,GBR,London (GBR),Marathon,2024-04-21,1214,GBR,27 Dec 1997,Marathon,102,1096.2778757260164
13:20.81,THIERRY NDIKUMWENAYO,ESP,"Estadi Olímpic Camilo Cano, La Nucia (ESP)",5000m,2024-06-28,1134,ESP,26 Mar 1997,"10000m, 5000m",34,1096.0920862589326
1:47.41,ABRAHAM GUEM,SSD,"Athletics Stadium, Setagaya, Tokyo (JPN)",800m,2024-07-27,1101,SSD,29 Apr 1999,800m,5,1095.5087395911432
1:46.11,GEORGE MILLS,GBR,"LAZ Wien, Wien (AUT)",800m,2024-06-22,1140,GBR,12 May 1999,"1500m, 5000m",40,1095.2999606336484
1:45.35,JAKE WIGHTMAN,GBR,"Olympiastadion, Stockholm (SWE)",800m,2024-06-02,1163,GBR,11 Jul 1994,800m,60,1095.2721525584814
3:37.37,OSSAMA MESLEK,ITA,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1500m,2024-06-20,1142,ITA,08 Jan 1997,1500m,42,1095.0292894137774
1:45.63,COLE HOCKER,USA,"Lincoln HS, Portland, OR (USA)",800m,2024-06-09,1154,USA,06 Jun 2001,1500m,53,1094.4305344045722
3:38.29,GEORGE MILLS,GBR,"Manchester Regional Arena, Manchester (GBR)",1500m,2024-06-30,1130,GBR,12 May 1999,"1500m, 5000m",32,1094.4124377494934
12:58.96,LAMECHA GIRMA,ETH,"Egret Stadium, Xiamen (CHN)",5000m,2024-04-20,1213,ETH,26 Nov 2000,3000m SC,103,1094.2800188330796
13:19.90,MERHAWI MEBRAHTU,ERI,"LAZ Wien, Wien (AUT)",5000m,2024-06-22,1138,ERI,21 Sep 2003,10000m,40,1093.3783817553438
2:07:05,MAHAMED MAHAMED,GBR,London (GBR),Marathon,2024-04-21,1209,GBR,18 Sep 1997,Marathon,102,1091.762727967672
3:38.51,IGNACIO FONTES,ESP,"Estadi Olímpic Camilo Cano, La Nucia (ESP)",1500m,2024-06-30,1127,ESP,22 Jun 1998,1500m,32,1091.5069180032558
13:20.61,JAMAL ABDELMAJI EISA MOHAMMED,ART,"LAZ Wien, Wien (AUT)",5000m,2024-06-22,1135,EOR,25 Aug 1993,10000m,40,1090.4960134378869
27:20.94,TOMOKI OTA,JPN,"Prefectural Shizuoka Stadium, Fukuroi (JPN)",10000m,2024-05-03,1193,JPN,17 Oct 1997,10000m,90,1090.3199040285751
1:45.11,ISAAC NADER,POR,"Stade Delort, Marseille (FRA)",800m,2024-05-22,1170,POR,17 Aug 1999,1500m,71,1089.8104137892828
13:00.47,BIRHANU BALEW,BRN,"Egret Stadium, Xiamen (CHN)",5000m,2024-04-20,1208,BRN,27 Feb 1996,"10000m, 5000m",103,1089.769383965672
8:29.24,TOMÁŠ HABARTA,CZE,"Stadion Mládeže, Zlín (CZE)",3000m SC,2024-06-29,1125,CZE,10 Jul 2003,3000m SC,33,1088.480879537661
8:27.86,BEN BUCKINGHAM,AUS,"LAZ Wien, Wien (AUT)",3000m SC,2024-06-22,1132,AUS,08 Nov 1991,3000m SC,40,1087.6136451204297
27:34.14,JUN KASAI,JPN,"Parliament Hill Fields Athletics Track, London (GBR)",10000m,2024-05-18,1172,JPN,24 Oct 2000,10000m,75,1087.315365977064
1:46.41,JOSEPH DENG,AUS,"LAZ Wien, Wien (AUT)",800m,2024-06-22,1131,AUS,07 Jul 1998,800m,40,1086.6528556812775
1:46.40,ALI IDOW HASSAN,SOM,"Stade Omnisport de JAPOMA, Douala (CMR)",800m,2024-06-22,1131,SOM,01 Jul 1998,800m,40,1086.6528556812775
1:45.87,PIETER SISK,BEL,"Stadio Olimpico, Roma (ITA)",800m,2024-06-07,1147,BEL,08 Dec 1999,800m,55,1085.618464702646
2:07:30,HASSAN CHAHDI,FRA,London (GBR),Marathon,2024-04-21,1202,FRA,07 May 1989,Marathon,102,1085.44152110599
1:01:03,YEMANEBERHAN CRIPPA,ITA,"Stadio Olimpico, Roma (ITA)",Half Marathon,2024-06-09,1144,ITA,15 Oct 1996,Marathon,53,1084.946734279749
8:28.73,EVAN JAGER,USA,"Hayward Field, Eugene, OR (USA)",3000m SC,2024-06-23,1128,USA,08 Mar 1989,3000m SC,39,1084.8547999171017
28:00.90,CONNER MANTZ,USA,"Hayward Field, Eugene, OR (USA)",10000m,2024-06-21,1130,USA,08 Dec 1996,Marathon,41,1084.6069168410127
13:24.52,ADEL MECHAAL,ESP,"Estadi Olímpic Camilo Cano, La Nucia (ESP)",5000m,2024-06-28,1121,ESP,05 Dec 1990,"1500m, 5000m",34,1083.526656698645
1:01:07,AMANAL PETROS,GER,"Stadio Olimpico, Roma (ITA)",Half Marathon,2024-06-09,1142,GER,17 May 1995,Marathon,53,1083.0499742547845
1:01:10,MARU TEFERI,ISR,"Stadio Olimpico, Roma (ITA)",Half Marathon,2024-06-09,1140,ISR,17 Aug 1992,Marathon,53,1081.15321422982
8:20.49,AHMED JAZIRI,TUN,"Le Grand Stade, Marrakech (MAR)",3000m SC,2024-05-19,1164,TUN,16 Dec 1997,3000m SC,74,1080.9738516312584
3:39.09,FILIP RAK,POL,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1500m,2024-06-27,1119,POL,03 Feb 2003,1500m,35,1080.5124607922169
3:34.56,NICO YOUNG,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",1500m,2024-05-04,1181,USA,27 Jul 2002,10000m,89,1080.4326223914277
1:46.38,JOCHEM VERMEULEN,BEL,"Stadion De Veen, Heusden-Zolder (BEL)",800m,2024-06-15,1132,BEL,02 Aug 1998,1500m,47,1080.0269340723
13:31.61,RYUJI MIURA,JPN,"Athletics Stadium, Fukagawa (JPN)",5000m,2024-07-17,1096,JPN,11 Feb 2002,3000m SC,15,1079.6826858049567
1:46.69,TUMO NKAPE,BOT,"Stade Omnisport de JAPOMA, Douala (CMR)",800m,2024-06-23,1122,BOT,24 Apr 1998,800m,39,1079.0842956622234
1:46.12,MATEUSZ BORKOWSKI,POL,"Stadio Olimpico, Roma (ITA)",800m,2024-06-07,1140,POL,02 Apr 1997,800m,55,1078.9930686669716
3:35.22,ANDREAS ALMGREN,SWE,"Suhaim bin Hamad Stadium, Doha (QAT)",1500m,2024-05-10,1172,SWE,12 Jun 1995,5000m,83,1078.6515445419861
3:37.72,MATTHEW WILKINSON,USA,"Lincoln HS, Portland, OR (USA)",1500m,2024-06-09,1137,USA,27 Dec 1998,3000m SC,53,1078.308074192373
3:36.57,PIETER SISK,BEL,"Boudewijnstadion, Bruxelles (BEL)",1500m,2024-05-26,1153,BEL,08 Dec 1999,800m,67,1078.2800671413033
3:36.50,JIMMY GRESSIER,FRA,"Stade Raymond Petit, Tomblaine (FRA)",1500m,2024-05-25,1154,FRA,04 May 1997,"10000m, 5000m",68,1078.1365865081045
2:03:27,DERESA GELETA,ETH,Sevilla (ESP),Marathon,2024-02-18,1271,ETH,14 Jan 1996,Marathon,165,1077.672897895741
26:53.01,MOHAMMED AHMED,CAN,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",10000m,2024-03-16,1237,CAN,05 Jan 1991,"10000m, 5000m",138,1077.5490816895526
1:45.67,FILIP RAK,POL,"Stade Raymond Petit, Tomblaine (FRA)",800m,2024-05-25,1153,POL,03 Feb 2003,1500m,68,1077.2023260345272
2:05:01,TADESSE ABRAHAM,SUI,Barcelona (ESP),Marathon,2024-03-10,1244,SUI,12 Aug 1982,Marathon,144,1077.164358585651
3:36.32,MIKE FOPPEN,NED,"Stade Delort, Marseille (FRA)",1500m,2024-05-22,1156,NED,29 Nov 1996,5000m,71,1076.7699472994964
3:39.28,ABRAHAM GUEM,SSD,"Stade Omnisport de JAPOMA, Douala (CMR)",1500m,2024-06-26,1116,SSD,29 Apr 1999,800m,36,1076.5385675271655
1:01:17,SAMUEL FITWI SIBHATU,GER,"Stadio Olimpico, Roma (ITA)",Half Marathon,2024-06-09,1135,GER,01 Jan 1996,Marathon,53,1076.4113141674084
1:45.69,RUBEN VERHEYDEN,BEL,"Boudewijnstadion, Bruxelles (BEL)",800m,2024-05-25,1152,BEL,22 Dec 2000,1500m,68,1076.26806556095
3:53.82,LAMECHA GIRMA,ETH,"Hayward Field, Eugene, OR (USA)",Mile,2024-05-25,1152,ETH,26 Nov 2000,3000m SC,68,1076.26806556095
3:35.50,DOMINIC LOKINYOMO LOBALU,SUI,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",1500m,2024-05-11,1168,EOR,16 Aug 1998,5000m,82,1076.0456477573352
28:00.48,YANN SCHRUB,FRA,"Stadio Olimpico, Roma (ITA)",10000m,2024-06-12,1131,FRA,20 Mar 1996,"10000m, 5000m",50,1075.8404791103076
28:00.32,DOMINIC LOKINYOMO LOBALU,SUI,"Stadio Olimpico, Roma (ITA)",10000m,2024-06-12,1131,EOR,16 Aug 1998,5000m,50,1075.8404791103076
27:47.72,RONALD KWEMOI,KEN,"Hayward Field, Eugene, OR (USA)",10000m,2024-05-25,1151,KEN,19 Sep 1995,5000m,68,1075.3338050873729
1:45.65,TIMOTHY CHERUIYOT,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,2024-05-22,1154,KEN,20 Nov 1995,1500m,71,1074.9070235152412
28:00.96,THIERRY NDIKUMWENAYO,ESP,"Stadio Olimpico, Roma (ITA)",10000m,2024-06-12,1130,ESP,26 Mar 1997,"10000m, 5000m",50,1074.8892496858068
28:01.16,ANDREAS ALMGREN,SWE,"Stadio Olimpico, Roma (ITA)",10000m,2024-06-12,1130,SWE,12 Jun 1995,5000m,50,1074.8892496858068
28:01.42,JIMMY GRESSIER,FRA,"Stadio Olimpico, Roma (ITA)",10000m,2024-06-12,1130,FRA,04 May 1997,"10000m, 5000m",50,1074.8892496858068
27:42.94,CÉLESTIN NDIKUMANA,BDI,"Parliament Hill Fields Athletics Track, London (GBR)",10000m,2024-05-18,1158,BDI,22 Feb 2002,10000m,75,1074.326957168464
13:25.41,JONAS RAESS,SUI,"LAZ Wien, Wien (AUT)",5000m,2024-06-22,1118,SUI,08 Mar 1994,5000m,40,1074.1625929722973
26:55.54,ADRIAAN WILDSCHUTT,RSA,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",10000m,2024-03-16,1233,RSA,03 May 1998,10000m,138,1074.0646869225693
2:03:47,MORHAD AMDOUNI,FRA,Sevilla (ESP),Marathon,2024-02-18,1266,FRA,21 Jun 1988,Marathon,165,1073.4334293753016
13:21.61,DOMINIC LOKINYOMO LOBALU,SUI,"Stadio Olimpico, Roma (ITA)",5000m,2024-06-08,1132,EOR,16 Aug 1998,5000m,54,1072.4931445600357
13:21.38,GEORGE MILLS,GBR,"Stadio Olimpico, Roma (ITA)",5000m,2024-06-08,1132,GBR,12 May 1999,"1500m, 5000m",54,1072.4931445600357
3:38.63,ABEL KIPSANG,KEN,"Nyayo National Stadium, Nairobi (KEN)",1500m,2024-06-14,1125,KEN,22 Nov 1996,1500m,48,1072.2755104621929
3:37.25,ELZAN BIBIĆ,SRB,"Mestský Stadion, Ostrava (CZE)",1500m,2024-05-28,1144,SRB,08 Jan 1999,5000m,65,1072.0051781037496
1:44.60,ABUBAKER HAYDAR ABDALLA,QAT,"Polideportivo Rey Juan Carlos, Ciudad Real (ESP)",800m,2024-04-21,1186,QAT,28 Aug 1996,800m,102,1070.993048279288
1:46.39,TOBIAS GRØNSTAD,NOR,"Stadio Olimpico, Roma (ITA)",800m,2024-06-07,1131,NOR,06 Jul 2002,800m,55,1070.4747023353902
2:08:58,ANDREW BUCHANAN,AUS,Hamburg (GER),Marathon,2024-04-28,1177,AUS,10 Apr 1991,Marathon,95,1070.3319438691083
28:04.43,PATRICK DEVER,GBR,"Stadio Olimpico, Roma (ITA)",10000m,2024-06-12,1125,GBR,05 Sep 1996,5000m,50,1070.1331025633033
1:01:28,GASHAU AYALE,ISR,"Stadio Olimpico, Roma (ITA)",Half Marathon,2024-06-09,1128,ISR,22 Aug 1996,Marathon,53,1069.7726540800325
3:38.49,ABDIHAMID NUR,USA,"Icahn Stadium, New York, NY (USA)",1500m,2024-06-09,1127,USA,14 Oct 1997,5000m,53,1068.82427406755
1:01:29,EYOB FANIEL,ITA,"Stadio Olimpico, Roma (ITA)",Half Marathon,2024-06-09,1127,ITA,26 Nov 1992,Marathon,53,1068.82427406755
1:01:31,GIRMAW AMARE,ISR,"Stadio Olimpico, Roma (ITA)",Half Marathon,2024-06-09,1126,ISR,26 Oct 1987,Marathon,53,1067.8758940550679
2:07:44,MATTHIAS KYBURZ,SUI,Paris (FRA),Marathon,2024-04-07,1198,SUI,05 Mar 1990,Marathon,116,1066.7893175103723
1:47.36,DENNICK LUKE,DMA,"National Stadium, Kingston (JAM)",800m,2024-06-28,1103,DMA,28 Jan 2001,800m,34,1066.1283696151697
13:29.42,BENJAMIN FLANAGAN,CAN,"Complexe Sportif Claude-Robillard, Montréal (CAN)",5000m,2024-06-27,1104,CAN,11 Jan 1995,5000m,35,1066.0283795483533
27:48.62,SAMUEL BARATA,POR,"Parliament Hill Fields Athletics Track, London (GBR)",10000m,2024-05-18,1149,POR,19 Jul 1993,Marathon,75,1065.9772657915073
2:07:52,ANDREW ROTICH KWEMOI,UGA,Milano (ITA),Marathon,2024-04-07,1196,UGA,01 Sep 2000,Marathon,116,1065.0083670637773
1:46.62,NIELS LAROS,NED,"Stadio Olimpico, Roma (ITA)",800m,2024-06-07,1125,NED,17 Apr 2005,1500m,55,1064.7957914476692
3:35.84,YANN SCHRUB,FRA,"Stade Raymond Troussier, Decines (FRA)",1500m,2024-05-04,1163,FRA,20 Mar 1996,"10000m, 5000m",89,1063.9654020670876
3:39.90,JEAN-SIMON DESGAGNÉS,CAN,"Piste Ben Leduc, Montréal (CAN)",1500m,2024-06-21,1108,CAN,26 Jul 1998,3000m SC,41,1063.4906759821613
2:06:57,JIE HE,CHN,Wuxi (CHN),Marathon,2024-03-24,1211,CHN,27 Dec 1998,Marathon,130,1063.3735668447998
2:09:57,KIBROM WELDEMICAEL,ERI,Genève (SUI),Marathon,2024-05-05,1161,ERI,01 Feb 1987,Marathon,88,1063.198377875781
3:36.53,MOHAMED ATTAOUI,ESP,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",1500m,2024-05-11,1154,ESP,26 Sep 2001,800m,82,1063.1478403355864
1:02:25,ANDREW BUCHANAN,AUS,Gold Coast (AUS),Half Marathon,2024-07-06,1091,AUS,10 Apr 1991,Marathon,26,1062.9995827631456
13:31.40,WILLIAM KINCAID,USA,"Hayward Field, Eugene, OR (USA)",5000m,2024-06-30,1097,USA,21 Sep 1992,10000m,32,1062.4517205408797
1:47.51,ELLIOT GILES,GBR,"Manchester Regional Arena, Manchester (GBR)",800m,2024-06-29,1098,GBR,26 May 1994,"1500m, 800m",33,1062.3573384287572
2:09:32,ELROY GELANT,RSA,Durban (RSA),Marathon,2024-04-28,1168,RSA,25 Aug 1986,Marathon,95,1062.1475874588943
13:24.54,ELZAN BIBIĆ,SRB,"Stadio Olimpico, Roma (ITA)",5000m,2024-06-08,1121,SRB,08 Jan 1999,5000m,54,1062.0713913885158
1:02:17,CARLOS DÍAZ,CHI,Hamburg (GER),Half Marathon,2024-06-30,1096,CHI,09 Jul 1993,Marathon,32,1061.4832139588007
13:27.20,RONALD KWEMOI,KEN,"Nyayo National Stadium, Nairobi (KEN)",5000m,2024-06-15,1112,KEN,19 Sep 1995,5000m,47,1060.9451861204927
28:10.97,ABDESSAMAD OUKHELFEN,ESP,"Stadio Olimpico, Roma (ITA)",10000m,2024-06-12,1115,ESP,18 Dec 1998,10000m,50,1060.6208083182962
13:27.54,JACOB KROP,KEN,"Nyayo National Stadium, Nairobi (KEN)",5000m,2024-06-15,1111,KEN,04 Jun 2001,5000m,47,1059.9910987229023
13:27.75,EDWIN KURGAT,KEN,"Nyayo National Stadium, Nairobi (KEN)",5000m,2024-06-15,1110,KEN,19 May 1996,5000m,47,1059.0370113253118
8:32.73,BILAL TABTI,ALG,"Parc des Sports C. Ehrmann, Nice (FRA)",3000m SC,2024-06-15,1110,ALG,07 Jun 1993,3000m SC,47,1059.0370113253118
2:08:18,KAAN KIGEN ÖZBILEN,TUR,Daegu (KOR),Marathon,2024-04-07,1189,TUR,15 Jan 1986,Marathon,116,1058.775040500695
3:36.87,ADRIÁN BEN,ESP,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",1500m,2024-05-11,1149,ESP,04 Aug 1998,800m,82,1058.5414805421046
3:38.19,JOHN HEYMANS,BEL,"Boudewijnstadion, Bruxelles (BEL)",1500m,2024-05-26,1131,BEL,09 Jan 1998,5000m,67,1057.7057727118943
2:09:22,HENOK TESFAY,ERI,London (GBR),Marathon,2024-04-21,1171,ERI,22 Nov 2000,Marathon,102,1057.4476050042547
3:39.38,BENJAMIN FLANAGAN,CAN,"Icahn Stadium, New York, NY (USA)",1500m,2024-06-09,1115,CAN,11 Jan 1995,5000m,53,1057.4437139177626
27:43.84,AKIRA AKASAKI,JPN,"Prefectural Shizuoka Stadium, Fukuroi (JPN)",10000m,2024-05-03,1157,JPN,21 Jan 1998,Marathon,90,1057.418381358811
13:25.99,JOHN HEYMANS,BEL,"Stadio Olimpico, Roma (ITA)",5000m,2024-06-08,1116,BEL,09 Jan 1998,5000m,54,1057.334230856007
2:04:53,GASHAU AYALE,ISR,Sevilla (ESP),Marathon,2024-02-18,1247,ISR,22 Aug 1996,Marathon,165,1057.323448997631
2:09:52,STEPHEN MOKOKA,RSA,Durban (RSA),Marathon,2024-04-28,1162,RSA,31 Jan 1985,Marathon,95,1056.6913498520848
3:36.41,DJILALI BEDRANI,FRA,"Stade Raymond Troussier, Decines (FRA)",1500m,2024-05-04,1155,FRA,01 Oct 1993,3000m SC,89,1056.646637478492
2:07:26,SHAOHUI YANG,CHN,Wuxi (CHN),Marathon,2024-03-24,1203,CHN,09 Jul 1992,Marathon,130,1056.3488033974352
